10001,2017077,6300,48
10001,2018015,6000,48
10002,2017076,8000,36
10002,2017037,6900,48
10002,2015066,7000,12
10002,2016003,6700,24
10002,2014001,9700,24
10003,2017078,9500,36
10003,2017038,5700,36
10003,2015065,5500,48
10003,2016004,5500,36
10003,2014002,6100,24
10004,2017079,4900,12
10004,2017039,6400,12
10004,2015064,6800,36
10004,2016005,5900,48
10004,2014003,6100,24
10004,2018004,9100,24
10004,2015014,4200,36
10005,2017080,6100,36
10005,2017040,5500,36
10005,2015067,9600,48
10005,2016006,9800,24
10005,2014004,7400,48
10005,2018006,8100,48
10006,2017081,9900,48
10006,2017036,8900,36
10006,2015063,8300,48
10006,2016007,6000,12
10006,2014005,6700,12
10006,2018007,9500,12
10007,2017075,4600,36
10007,2017035,9600,12
10008,2017025,9800,48
10008,2016038,6400,48
10008,2015059,7000,48
10008,2017082,9300,24
10008,2014035,7200,48
10008,2015056,5600,36
10008,2017011,7000,48
10009,2017084,8100,12
10009,2017026,7300,12
10009,2016039,9600,36
10009,2015058,4900,36
10009,2017084,6000,24
10009,2014034,5400,36
10010,2017085,6600,36
10010,2017027,9100,36
10010,2016037,4300,48
10010,2015060,8500,36
10010,2017085,9800,24
10011,2017086,8100,24
10011,2017028,8000,48
10011,2016036,8700,48
10011,2015055,4700,48
10011,2017086,5000,12
10011,2014036,6900,48
10012,2017088,8700,24
10012,2017029,5000,24
10012,2016040,7900,48
10013,2017089,5200,36
10013,2017024,9300,36
10013,2016034,4500,36
10014,2017087,9000,24
10014,2017023,8300,36
10014,2016033,4000,48
10014,2015053,4100,48
10014,2017087,7600,12
10015,2017091,9600,48
10015,2017030,7400,24
10015,2016032,5800,36
10015,2015052,8900,12
10015,2017090,6900,12
10015,2014032,8500,24
10015,2015049,8500,24
10015,2017010,9800,48
10016,2017093,6300,48
10016,2017031,6000,36
10016,2016031,7400,48
10016,2015051,9600,48
10016,2017093,8800,48
10016,2014033,6400,36
10017,2017094,9200,36
10017,2017032,6700,24
10018,2017095,4100,48
10018,2017022,4900,48
10018,2016029,6500,12
10018,2015050,4100,48
10018,2017092,7800,36
10018,2014031,9600,48
10019,2017096,4800,36
10019,2017021,10000,12
10019,2016028,10000,36
10019,2015048,6500,24
10019,2017096,7100,36
10019,2014037,4500,12
10020,2017098,8500,36
10020,2017033,7200,36
10020,2016027,5500,36
10020,2015047,5400,12
10020,2017098,8100,12
10020,2014030,7500,48
10020,2015045,5200,48
10020,2017008,6100,24
10021,2018000,8700,36
10021,2017041,5700,12
10021,2016030,9800,24
10021,2015054,7600,12
10021,2017099,6300,48
10022,2017034,7500,48
10022,2016025,7700,48
10022,2015044,8000,48
10022,2018001,5700,36
10022,2014029,9300,48
10022,2015042,5100,12
10022,2017007,5100,12
10023,2018002,9800,36
10023,2018039,5000,24
10023,2015046,7700,48
10023,2015028,6700,48
10024,2017097,7200,48
10024,2018040,5700,12
10024,2015057,6700,24
10024,2015027,7500,48
10024,2015039,4300,12
10024,2015072,4700,12
10024,2018032,10000,36
10025,2017083,6700,24
10025,2018038,9500,48
10025,2015061,8700,24
10025,2015025,10000,24
10025,2015038,8000,24
10025,2015074,5700,36
10025,2018031,7500,24
10026,2017074,4400,12
10026,2018041,7800,24
10026,2015043,6200,24
10026,2015023,5400,36
10027,2017073,6400,48
10027,2018037,5100,36
10027,2015062,9700,24
10027,2015022,6100,48
10027,2015036,8800,24
10027,2015076,5200,12
10028,2018003,4900,36
10028,2018042,8700,48
10028,2015068,8400,36
10029,2017072,4400,12
10029,2018036,4300,12
10029,2015041,8200,24
10030,2017070,5800,48
10030,2018043,6600,12
10030,2015040,6000,36
10030,2015019,6900,24
10030,2015034,9500,48
10030,2015078,4800,12
10031,2017071,8200,36
10031,2018035,4800,48
10031,2015069,7600,48
10031,2015017,6800,48
10031,2015033,4300,12
10031,2015080,6900,48
10031,2018027,8200,48
10032,2017069,6000,12
10032,2018044,7900,36
10032,2015070,4700,48
10032,2015015,7100,48
10032,2015031,5100,12
10033,2017068,7100,12
10033,2016026,8100,48
10034,2018005,4300,48
10034,2016024,6000,12
10034,2015073,5400,12
10034,2017003,10000,12
10034,2017059,4000,36
10034,2015026,8300,48
10034,2014045,7400,12
10035,2018009,4800,12
10035,2015004,9600,12
10035,2018063,9600,24
10036,2018008,6700,24
10036,2015003,9300,24
10036,2018062,6500,24
10036,2018002,8000,36
10036,2014054,7200,12
10037,2017066,7500,24
10037,2015005,8000,36
10037,2018061,5200,12
10037,2018016,5200,12
10037,2014053,9600,24
10038,2017064,4000,24
10038,2015006,4400,24
10038,2018060,4600,24
10038,2018014,6700,48
10039,2017062,9100,48
10039,2015002,5800,36
10039,2018064,4600,36
10039,2018013,6400,12
10039,2014051,8800,24
10039,2015024,5000,48
10040,2017061,8500,12
10040,2015001,8200,36
10040,2018059,6500,24
10040,2018003,6500,12
10041,2017058,8400,12
10041,2014068,5300,24
10041,2018058,7000,24
10041,2018012,5700,48
10041,2014050,4700,24
10041,2015029,9900,48
10042,2017057,5200,12
10042,2015007,4100,48
10042,2018057,9500,48
10042,2018011,9100,48
10042,2014049,8700,48
10042,2015030,7900,48
10042,2017052,9300,36
10043,2017056,9500,12
10043,2014067,9800,12
10043,2018056,7700,24
10043,2018004,8500,36
10043,2014048,9700,12
10043,2015032,6100,48
10043,2017050,8800,12
10043,2014047,6200,48
10044,2017055,4500,48
10044,2014052,6000,12
10044,2015021,4800,48
10044,2017001,5900,24
10045,2017060,6000,36
10045,2014046,9700,12
10046,2017063,5600,48
10046,2014055,8200,24
10046,2015035,8900,36
10047,2017054,5300,12
10047,2018065,8600,36
10047,2018045,7100,12
10047,2014063,4200,12
10047,2018009,9400,12
10047,2015010,4400,48
10047,2014022,8000,36
10047,2018046,4600,24
10048,2017051,5800,12
10048,2017020,7200,24
10048,2014064,9300,48
10048,2017049,5400,36
10048,2014060,8000,36
10048,2017042,6200,36
10049,2017053,9600,36
10049,2017018,8500,36
10049,2014065,10000,48
10049,2014058,5700,48
10049,2017019,9500,48
10049,2018024,6700,36
10050,2017065,8700,36
10050,2017016,9800,12
10050,2014066,9200,48
10050,2017065,4300,12
10051,2017067,10000,24
10051,2017015,5500,48
10051,2014062,6000,48
10051,2017048,9600,36
10051,2014057,5600,12
10051,2017017,4000,48
10051,2018026,5100,48
10051,2014043,7600,12
10052,2018010,4300,12
10052,2017013,6900,36
10052,2015008,6800,12
10052,2018010,8200,12
10052,2014056,9700,48
10053,2017047,8500,12
10053,2017009,8700,48
10053,2015009,7000,36
10053,2017047,6500,36
10053,2014044,4900,12
10053,2017012,7300,48
10054,2018006,7500,12
10054,2017006,9100,36
10054,2015011,4500,24
10054,2018005,6000,12
10054,2014042,9100,12
10055,2018007,8500,24
10055,2017002,7700,36
10056,2018008,6200,24
10056,2016050,9200,36
10057,2017046,6900,36
10057,2016049,8600,12
10057,2017014,7000,24
10058,2018011,9900,24
10058,2016047,5200,48
10058,2017005,7000,36
10058,2015082,6800,36
10058,2014040,6800,24
10058,2015075,5700,48
10058,2018023,7700,48
10059,2018012,8300,12
10059,2016045,9900,36
10060,2017045,8600,24
10060,2016044,9700,48
10060,2017004,6200,36
10060,2015081,9100,36
10061,2018013,7700,36
10061,2016042,8600,24
10061,2016048,7000,36
10061,2015079,6100,36
10061,2014038,4700,12
10061,2015020,9900,36
10061,2018029,8600,24
10061,2018034,4000,36
10062,2018014,5500,12
10062,2016035,9000,36
10062,2016043,10000,36
10062,2015077,5400,12
10062,2014027,6600,12
10062,2015018,6900,48
10062,2018028,5900,12
10063,2018015,4700,12
10063,2016022,8200,36
10063,2016046,9800,12
10063,2015083,7100,36
10063,2014025,5000,24
10063,2015016,9600,24
10063,2018030,8000,48
10064,2018016,5600,36
10064,2015094,6700,48
10065,2017044,5100,12
10065,2015093,6200,48
10065,2014012,5200,48
10065,2015013,6000,48
10065,2014021,6100,48
10065,2016016,9700,12
